id,code,code_name,f_code,f_time_from,f_time_to,f_price,fees,total_price,from,airport_from,to,airport_to,type
vj16169846100,vj,Vietjet,VJ122,04:50:00 01/04/2021,07:10:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna16169846200,vna,Vietnam Airlines,VN250,05:00:00 01/04/2021,07:10:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj16169846231,vj,Vietjet,VJ176,05:25:00 01/04/2021,07:35:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
qh16169846270,qh,Bamboo Airways,QH202,05:45:00 01/04/2021,07:55:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
vj16169846302,vj,Vietjet,VJ120,06:00:00 01/04/2021,08:10:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna16169846341,vna,Vietnam Airlines,VN206,06:00:00 01/04/2021,08:25:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj16169846383,vj,Vietjet,VJ132,06:05:00 01/04/2021,08:05:00 01/04/2021,199000,650900,849900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna16169846412,vna,Pacific Airlines,VN6002,06:30:00 01/04/2021,09:05:00 01/04/2021,199000,660000,859000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj16169846454,vj,Vietjet,VJ134,07:00:00 01/04/2021,09:10:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna16169846493,vna,Vietnam Airlines,VN242,07:00:00 01/04/2021,09:10:00 01/04/2021,709000,691000,1400000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-T
qh16169846521,qh,Bamboo Airways,QH204,07:05:00 01/04/2021,09:15:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
vna16169846564,vna,Pacific Airlines,VN6004,07:15:00 01/04/2021,09:15:00 01/04/2021,199000,660000,859000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vna16169846595,vna,Vietnam Airlines,VN208,08:00:00 01/04/2021,10:10:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
vna16169846636,vna,Pacific Airlines,VN6008,08:30:00 01/04/2021,10:45:00 01/04/2021,609000,681000,1290000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-T
vj16169846675,vj,Vietjet,VJ166,08:40:00 01/04/2021,11:00:00 01/04/2021,609000,671900,1280900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna16169846707,vna,Vietnam Airlines,VN248,09:00:00 01/04/2021,11:10:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vta16169846730,vta,Vietravel Airlines,VU 750,09:15:00 01/04/2021,11:25:00 01/04/2021,290000,660000,950000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Aregow (A) - Vé không hoàn
vj16169846776,vj,Vietjet,VJ140,09:35:00 01/04/2021,11:45:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna16169846808,vna,Vietnam Airlines,VN210,10:00:00 01/04/2021,12:10:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
vj16169846847,vj,Vietjet,VJ126,10:10:00 01/04/2021,12:20:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
qh16169846872,qh,Bamboo Airways,QH224,10:50:00 01/04/2021,13:00:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
vna16169846909,vna,Vietnam Airlines,VN254,11:00:00 01/04/2021,13:10:00 01/04/2021,299000,670000,969000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EL)-P
vj16169846948,vj,Vietjet,VJ130,11:05:00 01/04/2021,13:40:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698469810,vna,Vietnam Airlines,VN212,12:00:00 01/04/2021,14:10:00 01/04/2021,709000,691000,1400000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-T
vj16169847019,vj,Vietjet,VJ150,12:45:00 01/04/2021,14:55:00 01/04/2021,409000,661900,1070900,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco
vna161698470511,vna,Vietnam Airlines,VN260,13:00:00 01/04/2021,15:10:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
vna161698470812,vna,Vietnam Airlines,VN7212,13:15:00 01/04/2021,15:25:00 01/04/2021,509000,671000,1180000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Economy (EC)-E
qh16169847123,qh,Bamboo Airways,QH240,13:25:00 01/04/2021,15:25:00 01/04/2021,399000,672000,1071000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver
